,PropertyFullStreetAddress,PropertyCity,PropertyState,PropertyZip,fixed_address,score,latitude,longitude,address
137,125 SHORE AVE,KOTZEBUE,AK,99752,"125 SHORE AVE,KOTZEBUE,AK,99752",,,,
138,,,,,,100,-162.60396374701412,66.89573545089164,"125 Shore Ave, Kotzebue, Alaska, 99752"
139,,,,,,,,,
140,,,,,,,,,
141,,,,,,,,,
142,,,,,,,,,
143,,,,,,,,,
144,501 DUTTON RD,UNALASKA,AK,99685,"501 DUTTON RD,UNALASKA,AK,99685",,,,
145,62-63 MAKUSHIN DR,DUTCH HARBOR,AK,99692,"62-63 MAKUSHIN DR,DUTCH HARBOR,AK,99692",100,-166.52256508971152,53.87113761313298,"501 Dutton Rd, Unalaska, Alaska, 99685"
146,255 MAKUSHIN DR,UNALASKA,AK,99685,"255 MAKUSHIN DR,UNALASKA,AK,99685",98.28,-166.5419992481394,53.88825067877354,"63 Makushin Dr, Dutch Harbor, Alaska, 99692"
147,34 THOMPSON CIR,UNALASKA,AK,99685,"34 THOMPSON CIR,UNALASKA,AK,99685",99.41,-166.54227624579363,53.89057066305953,"255 Makushin Dr, Dutch Harbor, Alaska, 99692"
148,144 AERIE DR,UNALASKA,AK,99685,"144 AERIE DR,UNALASKA,AK,99685",100,-166.51370030714082,53.86000485046406,"34 Thompson Cir, Unalaska, Alaska, 99685"
149,240 EAGLE DR,UNALASKA,AK,99685,"240 EAGLE DR,UNALASKA,AK,99685",100,-166.51787412606606,53.86019743765898,"144 Aerie Dr, Unalaska, Alaska, 99685"
150,249-257 STEWARD RD,UNALASKA,AK,99685,"249-257 STEWARD RD,UNALASKA,AK,99685",100,-166.51520411354232,53.86094440591274,"240 Eagle Dr, Unalaska, Alaska, 99685"
151,48 CHERNOFSKI DR,DUTCH HARBOR,AK,99692,"48 CHERNOFSKI DR,DUTCH HARBOR,AK,99692",99,-166.5086097984003,53.85665394008484,"257 Steward Rd, Unalaska, Alaska, 99685"
152,273 RAVEN WAY,UNALASKA,AK,99685,"273 RAVEN WAY,UNALASKA,AK,99685",100,-166.54079677813274,53.88796295606457,"48 Chernofski Dr, Dutch Harbor, Alaska, 99692"
153,,,,,,100,-166.5391958983393,53.87331409137707,"273 Raven Way, Unalaska, Alaska, 99685"
154,,,,,,,,,
155,,,,,,,,,
156,,,,,,,,,
157,,,,,,,,,
158,,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
161,70 CHOATE LN,UNALASKA,AK,99685,"70 CHOATE LN,UNALASKA,AK,99685",,,,
162,104 LOOP RD,UNALASKA,AK,99685,"104 LOOP RD,UNALASKA,AK,99685",100,-166.5037858641564,53.85242313847321,"70 Choate Ln, Unalaska, Alaska, 99685"
163,43 ARMSTRONG CT,UNALASKA,AK,99685,"43 ARMSTRONG CT,UNALASKA,AK,99685",,,,
164,26 S 3RD AVE,UNALASKA,AK,99685,"26 S 3RD AVE,UNALASKA,AK,99685",100,-166.5268988542378,53.8715068280861,"43 Armstrong Ct, Unalaska, Alaska, 99685"
165,133 AERIE DR,UNALASKA,AK,99685,"133 AERIE DR,UNALASKA,AK,99685",96.93,-166.5350572095879,53.873543080980525,"26 3rd St, Unalaska, Alaska, 99685"
166,115 GORBATCH ST,SAINT PAUL ISLAND,AK,99660,"115 GORBATCH ST,SAINT PAUL ISLAND,AK,99660",100,-166.51802210711585,53.86036923643651,"133 Aerie Dr, Unalaska, Alaska, 99685"
167,132 LOOP RD,UNALASKA,AK,99685,"132 LOOP RD,UNALASKA,AK,99685",,,,
168,114 CHERNOFSKI DR,UNALASKA,AK,99685,"114 CHERNOFSKI DR,UNALASKA,AK,99685",100,-166.51626340678035,53.86635717615978,"132 Loop Rd, Unalaska, Alaska, 99685"
169,29-31 THOMPSON CIR,UNALASKA,AK,99685,"29-31 THOMPSON CIR,UNALASKA,AK,99685",99.41,-166.54109570772854,53.88841989130382,"114 Chernofski Dr, Dutch Harbor, Alaska, 99692"
170,216 MELANIE AVE,WASILLA,AK,99658,"216 MELANIE AVE,WASILLA,AK,99658",99.33,-166.51358143902183,53.85990633991397,"31 Thompson Cir, Unalaska, Alaska, 99685"
171,111 HANAGITA,VALDEZ,AK,99666,"111 HANAGITA,VALDEZ,AK,99666",81.66,-149.49801557400417,61.587642875007866,"W Melanie Ave, Wasilla, Alaska, 99654"
172,195 BAY ST,SELDOVIA,AK,99563,"195 BAY ST,SELDOVIA,AK,99563",96.64,-146.35094850000002,61.137041467684114,"111 Hanagita St, Valdez, Alaska, 99686"
173,,EMMONAK,AK,99581,"EMMONAK,AK,99581",97.83,-151.71124443152547,59.4358940516894,"195 Bay St, Seldovia, Alaska, 99663"
174,101 SHEPARD ST,SAINT MARYS,AK,99658,"101 SHEPARD ST,SAINT MARYS,AK,99658",100,-164.53646999999998,62.77779000000004,"Emmonak, Alaska, 99581"
175,102 WESTDAHL ST,SAINT MARYS,AK,99658,"102 WESTDAHL ST,SAINT MARYS,AK,99658",90.49,-163.18801794994604,62.047894199887374,"Sheppard St, Saint Marys, Alaska, 99658"
